,mean,F1,smoothing,model_type,extract_method
0,0.7469151220316548,0.2244242160188293,0.3782996176978647,multinomial,CountVectorizer
1,0.7526361371266044,0.2491960316976727,0.05327749151799319,multinomial,CountVectorizer
2,0.7451041690279592,0.2481333025726087,0.06420792439644349,multinomial,CountVectorizer
3,0.7456699256922414,0.24845449795279054,0.3117304559530788,multinomial,CountVectorizer
4,0.7498998994168395,0.24000800181467033,0.4520413634173503,multinomial,CountVectorizer
